Date,Coin,Price,Market_Cap,Market_Cap_Bil,Volume,Volume_Mil
2013-04-28,BTC,135.3,1500517590.0,1.50051759,0.0,0.0
2013-04-29,BTC,141.96,1575032004.0,1.575032004,0.0,0.0
2013-04-30,BTC,135.3,1501657493.0,1.501657493,0.0,0.0
2013-05-01,BTC,117.0,1298951550.0,1.29895155,0.0,0.0
2013-05-02,BTC,103.43,1148667722.0,1.148667722,0.0,0.0
2013-05-03,BTC,91.01,1011066494.0,1.011066494,0.0,0.0
2013-05-04,BTC,111.25,1236351844.0,1.236351844,0.0,0.0
2013-05-05,BTC,116.79,1298377788.0,1.298377788,0.0,0.0
2013-05-06,BTC,118.33,1315992304.0,1.315992304,0.0,0.0
2013-05-07,BTC,106.4,1183766500.0,1.1837665,0.0,0.0
2013-05-08,BTC,112.64,1253655040.0,1.25365504,0.0,0.0
2013-05-09,BTC,113.0,1258130700.0,1.2581307,0.0,0.0
2013-05-10,BTC,118.78,1322989457.0,1.322989457,0.0,0.0
2013-05-11,BTC,113.01,1259239352.0,1.259239352,0.0,0.0
2013-05-12,BTC,114.713,1278708679.0,1.278708679,0.0,0.0
2013-05-13,BTC,117.18,1306721052.0,1.306721052,0.0,0.0
2013-05-14,BTC,114.5,1277278988.0,1.277278988,0.0,0.0
2013-05-15,BTC,114.156,1273849681.0,1.273849681,0.0,0.0
2013-05-16,BTC,115.5,1289277412.0,1.289277412,0.0,0.0
2013-05-17,BTC,123.1,1374605382.0,1.374605382,0.0,0.0
2013-05-18,BTC,123.88,1383755085.0,1.383755085,0.0,0.0
2013-05-19,BTC,120.501,1346499262.0,1.346499262,0.0,0.0
2013-05-20,BTC,122.58,1370131821.0,1.370131821,0.0,0.0
2013-05-21,BTC,122.9,1374154118.0,1.374154118,0.0,0.0
2013-05-22,BTC,123.0,1375791900.0,1.3757919,0.0,0.0
2013-05-23,BTC,125.748,1407041528.0,1.407041528,0.0,0.0
2013-05-24,BTC,131.7,1474180657.0,1.474180657,0.0,0.0
2013-05-25,BTC,130.77,1464316690.0,1.46431669,0.0,0.0
2013-05-26,BTC,134.6,1507769010.0,1.50776901,0.0,0.0
2013-05-27,BTC,128.985,1445444606.0,1.445444606,0.0,0.0
2013-05-28,BTC,129.179,1448115967.0,1.448115967,0.0,0.0
2013-05-29,BTC,132.13,1481781795.0,1.481781795,0.0,0.0
2013-05-30,BTC,127.401,1429308634.0,1.429308634,0.0,0.0
2013-05-31,BTC,127.98,1436386730.0,1.43638673,0.0,0.0
2013-06-01,BTC,129.09,1449499974.0,1.449499974,0.0,0.0
2013-06-02,BTC,121.3,1362684200.0,1.3626842,0.0,0.0
2013-06-03,BTC,121.16,1361765704.0,1.361765704,0.0,0.0
2013-06-05,BTC,121.309,1364113640.0,1.36411364,0.0,0.0
2013-06-06,BTC,121.714,1369233814.0,1.369233814,0.0,0.0
2013-06-07,BTC,119.0,1339234925.0,1.339234925,0.0,0.0
2013-06-08,BTC,110.09,1239395972.0,1.239395972,0.0,0.0
